municipio_ibge;Nome do Município;Código UF;UF;Estado;Latitude;Longitude
520005; Abadia de Goiás; 52; GO; Goiás; -16.7573; -49.4412
310010; Abadia dos Dourados; 31; MG; Minas Gerais; -18.4831; -47.3916
520010; Abadiânia; 52; GO; Goiás; -16.197; -48.7057
310020; Abaeté; 31; MG; Minas Gerais; -19.1551; -45.4444
150010; Abaetetuba; 15; PA; Pará; -1.72183; -48.8788
230010; Abaiara; 23; CE; Ceará; -7.34588; -39.0416
290010; Abaíra; 29; BA; Bahia; -13.2488; -41.6619
290020; Abaré; 29; BA; Bahia; -8.72073; -39.1162
410010; Abatiá; 41; PR; Paraná; -23.3049; -50.3133
420005; Abdon Batista; 42; SC; Santa Catarina; -27.6126; -51.0233
150013; Abel Figueiredo; 15; PA; Pará; -4.95333; -48.3933
420010; Abelardo Luz; 42; SC; Santa Catarina; -26.5716; -52.3229
310030; Abre Campo; 31; MG; Minas Gerais; -20.2996; -42.4743
260005; Abreu e Lima; 26; PE; Pernambuco; -7.90072; -34.8984
170025; Abreulândia; 17; TO; Tocantins; -9.62101; -49.1518
310040; Acaiaca; 31; MG; Minas Gerais; -20.359; -43.1439
210005; Açailândia; 21; MA; Maranhão; -4.94714; -47.5004
290030; Acajutiba; 29; BA; Bahia; -11.6575; -38.0197
150020; Acará; 15; PA; Pará; -1.95383; -48.1985
230015; Acarape; 23; CE; Ceará; -4.22083; -38.7055
230020; Acaraú; 23; CE; Ceará; -2.88769; -40.1183
240010; Acari; 24; RN; Rio Grande do Norte; -6.4282; -36.6347
220005; Acauã; 22; PI; Piauí; -8.21954; -41.0831
430003; Aceguá; 43; RS; Rio Grande do Sul; -31.8665; -54.1615
230030; Acopiara; 23; CE; Ceará; -6.08911; -39.448
510010; Acorizal; 51; MT; Mato Grosso; -15.194; -56.3632
120001; Acrelândia; 12; AC; Acre; -9.82581; -66.8972
520013; Acreúna; 52; GO; Goiás; -17.396; -50.3749
310050; Açucena; 31; MG; Minas Gerais; -19.0671; -42.5419
350010; Adamantina; 35; SP; São Paulo; -21.682; -51.0737
520015; Adelândia; 52; GO; Goiás; -16.4127; -50.1657
350020; Adolfo; 35; SP; São Paulo; -21.2325; -49.6451
410020; Adrianópolis; 41; PR; Paraná; -24.6606; -48.9922
290035; Adustina; 29; BA; Bahia; -10.5437; -38.1113
260010; Afogados da Ingazeira; 26; PE; Pernambuco; -7.74312; -37.631
240030; Afonso Bezerra; 24; RN; Rio Grande do Norte; -5.49229; -36.5075
320010; Afonso Cláudio; 32; ES; Espírito Santo; -20.0778; -41.1261
210010; Afonso Cunha; 21; MA; Maranhão; -4.13631; -43.3275
260020; Afrânio; 26; PE; Pernambuco; -8.51136; -41.0095
150030; Afuá; 15; PA; Pará; -0.154874; -50.3861
260030; Agrestina; 26; PE; Pernambuco; -8.45966; -35.9447
220010; Agricolândia; 22; PI; Piauí; -5.79676; -42.6664
420020; Agrolândia; 42; SC; Santa Catarina; -27.4087; -49.822
420030; Agronômica; 42; SC; Santa Catarina; -27.2662; -49.708
150034; Água Azul do Norte; 15; PA; Pará; -6.79053; -50.4791
310060; Água Boa; 31; MG; Minas Gerais; -17.9914; -42.3806
510020; Água Boa; 51; MT; Mato Grosso; -14.051; -52.1601
270010; Água Branca; 27; AL; Alagoas; -9.262; -37.938
220020; Água Branca; 22; PI; Piauí; -5.88856; -42.637
250010; Água Branca; 25; PB; Paraíba; -7.51144; -37.6357
500020; Água Clara; 50; MS; Mato Grosso do Sul; -20.4452; -52.879
310070; Água Comprida; 31; MG; Minas Gerais; -20.0576; -48.1069
420040; Água Doce; 42; SC; Santa Catarina; -26.9985; -51.5528
210015; Água Doce do Maranhão; 21; MA; Maranhão; -2.84048; -42.1189
320016; Água Doce do Norte; 32; ES; Espírito Santo; -18.5482; -40.9854
290040; Água Fria; 29; BA; Bahia; -11.8618; -38.7639
520017; Água Fria de Goiás; 52; GO; Goiás; -14.9778; -47.7823
520020; Água Limpa; 52; GO; Goiás; -18.0771; -48.7603
240040; Água Nova; 24; RN; Rio Grande do Norte; -6.20351; -38.2941
260040; Água Preta; 26; PE; Pernambuco; -8.70609; -35.5263
430005; Água Santa; 43; RS; Rio Grande do Sul; -28.1672; -52.031
350030; Aguaí; 35; SP; São Paulo; -22.0572; -46.9735
310080; Aguanil; 31; MG; Minas Gerais; -20.9439; -45.3915
260050; Águas Belas; 26; PE; Pernambuco; -9.11125; -37.1226
350040; Águas da Prata; 35; SP; São Paulo; -21.9319; -46.7176
420050; Águas de Chapecó; 42; SC; Santa Catarina; -27.0754; -52.9808
350050; Águas de Lindóia; 35; SP; São Paulo; -22.4733; -46.6314
350055; Águas de Santa Bárbara; 35; SP; São Paulo; -22.8812; -49.2421
350060; Águas de São Pedro; 35; SP; São Paulo; -22.5977; -47.8734
310090; Águas Formosas; 31; MG; Minas Gerais; -17.0802; -40.9384
420055; Águas Frias; 42; SC; Santa Catarina; -26.8794; -52.8568
520025; Águas Lindas de Goiás; 52; GO; Goiás; -15.7617; -48.2816
420060; Águas Mornas; 42; SC; Santa Catarina; -27.6963; -48.8243
310100; Águas Vermelhas; 31; MG; Minas Gerais; -15.7431; -41.4571
430010; Agudo; 43; RS; Rio Grande do Sul; -29.6447; -53.2515
350070; Agudos; 35; SP; São Paulo; -22.4694; -48.9863
410030; Agudos do Sul; 41; PR; Paraná; -25.9899; -49.3343
320013; Águia Branca; 32; ES; Espírito Santo; -18.9846; -40.7437
250020; Aguiar; 25; PB; Paraíba; -7.0918; -38.1681
170030; Aguiarnópolis; 17; TO; Tocantins; -6.55409; -47.4702
310110; Aimorés; 31; MG; Minas Gerais; -19.5007; -41.0746
290060; Aiquara; 29; BA; Bahia; -14.1269; -39.8937
230040; Aiuaba; 23; CE; Ceará; -6.57122; -40.1178
310120; Aiuruoca; 31; MG; Minas Gerais; -21.9736; -44.6042
430020; Ajuricaba; 43; RS; Rio Grande do Sul; -28.2342; -53.7757
310130; Alagoa; 31; MG; Minas Gerais; -22.171; -44.6413
250030; Alagoa Grande; 25; PB; Paraíba; -7.03943; -35.6206
250040; Alagoa Nova; 25; PB; Paraíba; -7.05377; -35.7591
250050; Alagoinha; 25; PB; Paraíba; -6.94657; -35.5332
260060; Alagoinha; 26; PE; Pernambuco; -8.4665; -36.7788
220025; Alagoinha do Piauí; 22; PI; Piauí; -7.00039; -40.9282
290070; Alagoinhas; 29; BA; Bahia; -12.1335; -38.4208
350075; Alambari; 35; SP; São Paulo; -23.5503; -47.898
310140; Albertina; 31; MG; Minas Gerais; -22.2018; -46.6139
210020; Alcântara; 21; MA; Maranhão; -2.39574; -44.4062
230050; Alcântaras; 23; CE; Ceará; -3.58537; -40.5479
250053; Alcantil; 25; PB; Paraíba; -7.73668; -36.0511
500025; Alcinópolis; 50; MS; Mato Grosso do Sul; -18.3255; -53.7042
290080; Alcobaça; 29; BA; Bahia; -17.5195; -39.2036
210030; Aldeias Altas; 21; MA; Maranhão; -4.62621; -43.4689
430030; Alecrim; 43; RS; Rio Grande do Sul; -27.6579; -54.7649
320020; Alegre; 32; ES; Espírito Santo; -20.758; -41.5382
430040; Alegrete; 43; RS; Rio Grande do Sul; -29.7902; -55.7949
220027; Alegrete do Piauí; 22; PI; Piauí; -7.24196; -40.8566
430045; Alegria; 43; RS; Rio Grande do Sul; -27.8345; -54.0557
310150; Além Paraíba; 31; MG; Minas Gerais; -21.8797; -42.7176
150040; Alenquer; 15; PA; Pará; -1.94623; -54.7384
240050; Alexandria; 24; RN; Rio Grande do Norte; -6.40533; -38.0142
520030; Alexânia; 52; GO; Goiás; -16.0834; -48.5076
310160; Alfenas; 31; MG; Minas Gerais; -21.4256; -45.9477
320030; Alfredo Chaves; 32; ES; Espírito Santo; -20.6396; -40.7543
350080; Alfredo Marcondes; 35; SP; São Paulo; -21.9527; -51.414
